Source,Name,Blackbody Temperature (K),Luminosity (erg/s),Inner Radius (lg(cm)),Outer Radius (lg(cm)),Hden (cm-3)
SDSS,spec-57369-GAC096N11M1_sp02-147.fits.gz_residual_highpass.txt,15000.0,26.0,12.0,15.0,5.0
SDSS,spec-56581-GAC081N30B1_sp09-001.fits.gz_residual_highpass.txt,25000.0,29.0,9.0,14.0,13.0
SDSS,spec-57137-HD162301N323735M01_sp11-079.fits.gz_residual_highpass.txt,26000.0,33.0,11.0,13.0,7.0
SDSS,spec-58155-GAC081S00M1_sp02-211.fits.gz_residual_highpass.txt,25000.0,27.0,7.0,8.0,9.0
SDSS,spec-58068-HD073149N010954B01_sp14-109.fits.gz_residual_highpass.txt,24000.0,26.0,8.0,12.0,13.0
SDSS,spec-58844-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,28000.0,28.0,7.0,8.0,9.0
SDSS,spec-58816-GAC099N02M1_sp15-059.fits.gz_residual_highpass.txt,24000.0,28.0,7.0,8.0,9.0
SDSS,spec-58127-K2QSOB01_sp08-242.fits.gz_residual_highpass.txt,30000.0,40.0,14.0,15.0,11.0
SDSS,spec-59253-HD115014N541509M02_sp03-238.fits.gz_residual_highpass.txt,16000.0,25.0,8.0,9.0,13.0
SDSS,spec-58425-KII065746N202759B02_sp07-106.fits.gz_residual_highpass.txt,29000.0,26.0,8.0,12.0,7.0
SDSS,spec-56344-HD132759N524444B01_sp06-239.fits.gz_residual_highpass.txt,40000.0,27.0,7.0,9.0,15.0
SDSS,spec-57541-HD173133N504043M01_sp12-204.fits.gz_residual_highpass.txt,15000.0,20.0,8.0,9.0,11.0
SDSS,spec-57742-GAC081N15M1_sp12-046.fits.gz_residual_highpass.txt,29000.0,26.0,7.0,9.0,9.0
SDSS,spec-57093-GAC097N28M1_sp02-178.fits.gz_residual_highpass.txt,15000.0,25.0,10.0,12.0,11.0
SDSS,spec-58573-HD131249N423736B01_sp11-110.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,11.0,9.0
SDSS,spec-57012-HD091735N272519M01_sp15-206.fits.gz_residual_highpass.txt,27000.0,22.0,6.0,9.0,7.0
SDSS,spec-56228-EG220318S020919V01_sp07-065.fits.gz_residual_highpass.txt,15000.0,23.0,10.0,13.0,11.0
SDSS,spec-57312-M31007N36M2_sp09-067.fits.gz_residual_highpass.txt,26000.0,33.0,12.0,16.0,17.0
SDSS,spec-58105-GACII048N59M1_sp06-163.fits.gz_residual_highpass.txt,20000.0,24.0,10.0,16.0,13.0
SDSS,spec-57745-HD091915N465637M01_sp13-039.fits.gz_residual_highpass.txt,25000.0,35.0,10.0,15.0,9.0
SDSS,spec-56203-EG213945N020821V01_sp16-185.fits.gz_residual_highpass.txt,29000.0,28.0,8.0,9.0,9.0
SDSS,spec-58136-HD133420N140639M02_sp13-192.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,10.0,9.0
SDSS,spec-55918-GAC_082N29_M1_sp04-168.fits.gz_residual_highpass.txt,26000.0,28.0,7.0,8.0,9.0
SDSS,spec-58435-GAC099N12M1_sp16-138.fits.gz_residual_highpass.txt,16000.0,21.0,8.0,13.0,11.0
SDSS,spec-59311-HD100908N183150M03_sp15-062.fits.gz_residual_highpass.txt,31000.0,22.0,7.0,12.0,7.0
SDSS,spec-59142-HD202834N081523B01_sp02-150.fits.gz_residual_highpass.txt,38000.0,29.0,9.0,13.0,9.0
SDSS,spec-58072-EG224702N171358M01_sp03-168.fits.gz_residual_highpass.txt,12000.0,28.0,7.0,8.0,9.0
SDSS,spec-58131-HD105331N491352M02_sp09-215.fits.gz_residual_highpass.txt,29000.0,31.0,11.0,14.0,5.0
SDSS,spec-58253-HD163334N102208B01_sp09-117.fits.gz_residual_highpass.txt,28000.0,24.0,7.0,10.0,7.0
SDSS,spec-57717-M31007N33B2_sp01-014.fits.gz_residual_highpass.txt,22000.0,39.0,13.0,15.0,7.0
SDSS,spec-57720-HD095839N105737V01_sp14-129.fits.gz_residual_highpass.txt,21000.0,31.0,8.0,10.0,9.0
SDSS,spec-56266-GAC117N24V1_sp07-231.fits.gz_residual_highpass.txt,15000.0,28.0,10.0,11.0,13.0
SDSS,spec-56604-GAC106N20B1_sp16-031.fits.gz_residual_highpass.txt,30000.0,27.0,10.0,11.0,11.0
SDSS,spec-57397-GAC092N15M1_sp06-082.fits.gz_residual_highpass.txt,15000.0,24.0,10.0,13.0,11.0
SDSS,spec-56985-M31000N42B1_sp04-058.fits.gz_residual_highpass.txt,20000.0,24.0,6.0,16.0,17.0
SDSS,spec-58099-HD082820N494114M02_sp06-099.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-55874-GAC_097N28_B1_sp01-097.fits.gz_residual_highpass.txt,40000.0,26.0,9.0,11.0,5.0
SDSS,spec-58106-K2QSOB01_sp08-242.fits.gz_residual_highpass.txt,19000.0,29.0,7.0,8.0,9.0
SDSS,spec-58403-S82352S01M1_sp03-036.fits.gz_residual_highpass.txt,27000.0,28.0,7.0,8.0,9.0
SDSS,spec-56659-M31023N28M1_sp07-095.fits.gz_residual_highpass.txt,15000.0,22.0,10.0,15.0,7.0
SDSS,spec-57378-GAC120N14B2_sp16-175.fits.gz_residual_highpass.txt,23000.0,21.0,6.0,9.0,15.0
SDSS,spec-57369-GAC096N11M1_sp06-020.fits.gz_residual_highpass.txt,25000.0,28.0,7.0,10.0,9.0
SDSS,spec-57422-GAC073N15B2_sp04-192.fits.gz_residual_highpass.txt,29000.0,30.0,9.0,10.0,9.0
SDSS,spec-56369-HD090808N144241B01_sp14-062.fits.gz_residual_highpass.txt,15000.0,20.0,9.0,16.0,9.0
SDSS,spec-57369-GAC096N11M1_sp06-013.fits.gz_residual_highpass.txt,15000.0,22.0,9.0,13.0,11.0
SDSS,spec-58019-HD205516N434725B01_sp03-144.fits.gz_residual_highpass.txt,32000.0,26.0,6.0,10.0,11.0
SDSS,spec-57369-EG012903N071738M01_sp13-083.fits.gz_residual_highpass.txt,34000.0,29.0,9.0,10.0,9.0
SDSS,spec-57754-HD090143N355133M01_sp11-197.fits.gz_residual_highpass.txt,33000.0,31.0,9.0,12.0,9.0
SDSS,spec-55876-GAC_089N28_B2_sp10-010.fits.gz_residual_highpass.txt,22000.0,29.0,7.0,9.0,9.0
SDSS,spec-57030-M31028N29B2_sp13-006.fits.gz_residual_highpass.txt,39000.0,37.0,14.0,16.0,5.0
SDSS,spec-57017-HD102408N334306M01_sp03-212.fits.gz_residual_highpass.txt,15000.0,20.0,9.0,11.0,9.0
SDSS,spec-59113-KP190339N395439V04_sp13-103.fits.gz_residual_highpass.txt,16000.0,31.0,12.0,14.0,11.0
SDSS,spec-56914-KP193637N444141V01_sp15-160.fits.gz_residual_highpass.txt,36000.0,21.0,9.0,16.0,15.0
SDSS,spec-57299-EG225624N130316B01_sp07-172.fits.gz_residual_highpass.txt,25000.0,20.0,6.0,9.0,23.0
SDSS,spec-58072-EG224702N171358M01_sp04-137.fits.gz_residual_highpass.txt,28000.0,22.0,9.0,16.0,15.0
SDSS,spec-56396-HD125932N280356F01_sp05-203.fits.gz_residual_highpass.txt,27000.0,25.0,9.0,13.0,11.0
SDSS,spec-57641-HD014347N555238B01_sp02-128.fits.gz_residual_highpass.txt,23000.0,35.0,10.0,16.0,9.0
SDSS,spec-57456-GAC110N45M1_sp10-028.fits.gz_residual_highpass.txt,15000.0,28.0,13.0,16.0,13.0
SDSS,spec-58095-GACII083N68B1_sp13-060.fits.gz_residual_highpass.txt,29000.0,35.0,13.0,14.0,5.0
SDSS,spec-58040-GACII004N36B1_sp01-085.fits.gz_residual_highpass.txt,24000.0,31.0,9.0,13.0,9.0
SDSS,spec-57414-GAC115N15B1_sp06-083.fits.gz_residual_highpass.txt,20000.0,38.0,11.0,13.0,9.0
SDSS,spec-58899-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,21000.0,31.0,8.0,15.0,9.0
SDSS,spec-57307-GAC083N27M1_sp01-037.fits.gz_residual_highpass.txt,22000.0,30.0,8.0,11.0,9.0
SDSS,spec-57870-HD173213N461949M02_sp01-141.fits.gz_residual_highpass.txt,28000.0,23.0,7.0,11.0,7.0
SDSS,spec-58130-K2QSOB03_sp08-242.fits.gz_residual_highpass.txt,31000.0,34.0,12.0,13.0,7.0
SDSS,spec-56287-VB053N42V2_sp15-004.fits.gz_residual_highpass.txt,40000.0,27.0,14.0,16.0,15.0
SDSS,spec-56751-VB138N06V2_sp11-208.fits.gz_residual_highpass.txt,15000.0,28.0,10.0,11.0,13.0
SDSS,spec-56346-HD122712N362227B01_sp12-166.fits.gz_residual_highpass.txt,27000.0,26.0,6.0,7.0,9.0
SDSS,spec-58875-TD084656N120635K01_sp15-231.fits.gz_residual_highpass.txt,15000.0,21.0,9.0,11.0,7.0
SDSS,spec-57418-GAC115N15B2_sp06-083.fits.gz_residual_highpass.txt,24000.0,30.0,8.0,12.0,9.0
SDSS,spec-57454-HD150715N223351B02_sp13-172.fits.gz_residual_highpass.txt,18000.0,34.0,13.0,14.0,19.0
SDSS,spec-57330-M31019N33M1_sp01-185.fits.gz_residual_highpass.txt,15000.0,32.0,9.0,12.0,11.0
SDSS,spec-56629-HD090800N293915M01_sp06-213.fits.gz_residual_highpass.txt,15000.0,25.0,10.0,12.0,11.0
SDSS,spec-58848-TD104903N100928K01_sp06-113.fits.gz_residual_highpass.txt,15000.0,27.0,13.0,15.0,5.0
SDSS,spec-56396-HD165712N321400M01_sp09-243.fits.gz_residual_highpass.txt,27000.0,28.0,7.0,8.0,9.0
SDSS,spec-56993-EG013501N290602B01_sp09-116.fits.gz_residual_highpass.txt,12000.0,31.0,8.0,12.0,9.0
SDSS,spec-55859-M5904_sp12-121.fits.gz_residual_highpass.txt,35000.0,21.0,6.0,13.0,13.0
